2019-01-09 16:56:50,245 | com.altius.automation.TestAutomation |INFO | Invalid data is successfully passed through the Username field
2019-01-09 16:56:50,828 | com.altius.automation.TestAutomation |INFO | Submit button is successfully cliked after invalid data is passed through the username field
2019-01-09 16:56:51,064 | com.altius.automation.TestAutomation |INFO | Wrong password                
2019-01-09 16:56:51,438 | com.altius.automation.TestAutomation |INFO | Invalid password is entered through the password field
2019-01-09 16:56:51,617 | com.altius.automation.TestAutomation |INFO | User unable to login with wrong PW
2019-01-09 16:56:51,809 | com.altius.automation.TestAutomation |INFO | Checking the wrong UN and PW                      
2019-01-09 16:56:52,083 | com.altius.automation.TestAutomation |INFO | Invalid Username is entered to the UN field
2019-01-09 16:56:52,343 | com.altius.automation.TestAutomation |INFO | Invalid password is entered to the PW field
2019-01-09 16:56:52,887 | com.altius.automation.TestAutomation |INFO | Submit is clicked after Wrong UN and PW
2019-01-09 16:56:52,888 | com.altius.automation.TestAutomation |INFO | Validation is raised and User unable to login with wrong UN & PW
2019-01-09 16:56:53,571 | com.altius.automation.TestAutomation |INFO | Valid User name is passed to the UN field
2019-01-09 16:56:53,806 | com.altius.automation.TestAutomation |INFO | Submit button is clicked after the valid UN is passed to the UN field
2019-01-09 16:56:53,807 | com.altius.automation.TestAutomation |INFO | User Unable to login with only correct UN
2019-01-09 16:56:54,714 | com.altius.automation.TestAutomation |INFO | Only valid password data is passed to the password field 
2019-01-09 16:56:55,450 | com.altius.automation.TestAutomation |INFO | 
2019-01-09 16:56:56,374 | com.altius.automation.TestAutomation |INFO | Valid UN is passed to the UN field
2019-01-09 16:56:56,577 | com.altius.automation.TestAutomation |INFO | Valid password data is passed to the PW field
2019-01-09 16:56:57,179 | com.altius.automation.TestAutomation |INFO | User able to login with Correct UN  &PW
2019-01-09 16:56:57,999 | com.altius.automation.TestAutomation |INFO | Browser 
2019-01-09 16:57:04,481 | com.altius.automation.TestAutomation |INFO | Valid UN is passed to the UN field
2019-01-09 16:57:04,860 | com.altius.automation.TestAutomation |ERROR | Valid password is not passed to the PW field
2019-01-09 16:57:15,516 | com.altius.automation.TestAutomation |ERROR | Drop down option of 100 is not get selected 
2019-01-09 16:57:15,582 | com.altius.automation.TestAutomation |INFO | Drop down option is selected to list 100 entries and the number of entry is 0
2019-01-09 16:57:15,655 | com.altius.automation.TestAutomation |ERROR | Value is not searched and edit button is not clicked
2019-01-09 16:57:16,559 | com.altius.automation.TestAutomation |INFO | Browser 
2019-01-17 14:37:10,527 | com.altius.automation.TestAutomation |INFO | Invalid data is successfully passed through the Username field
2019-01-17 14:37:11,175 | com.altius.automation.TestAutomation |INFO | Submit button is successfully cliked after invalid data is passed through the username field
2019-01-17 14:37:11,433 | com.altius.automation.TestAutomation |INFO | Wrong password                
2019-01-17 14:37:11,725 | com.altius.automation.TestAutomation |INFO | Invalid password is entered through the password field
2019-01-17 14:37:11,883 | com.altius.automation.TestAutomation |INFO | User unable to login with wrong PW
2019-01-17 14:37:12,146 | com.altius.automation.TestAutomation |INFO | Checking the wrong UN and PW                      
2019-01-17 14:37:12,499 | com.altius.automation.TestAutomation |INFO | Invalid Username is entered to the UN field
2019-01-17 14:37:12,669 | com.altius.automation.TestAutomation |INFO | Invalid password is entered to the PW field
2019-01-17 14:37:13,176 | com.altius.automation.TestAutomation |INFO | Submit is clicked after Wrong UN and PW
2019-01-17 14:37:13,178 | com.altius.automation.TestAutomation |INFO | Validation is raised and User unable to login with wrong UN & PW
2019-01-17 14:37:13,733 | com.altius.automation.TestAutomation |INFO | Valid User name is passed to the UN field
2019-01-17 14:37:13,950 | com.altius.automation.TestAutomation |INFO | Submit button is clicked after the valid UN is passed to the UN field
2019-01-17 14:37:13,951 | com.altius.automation.TestAutomation |INFO | User Unable to login with only correct UN
2019-01-17 14:37:14,605 | com.altius.automation.TestAutomation |INFO | Only valid password data is passed to the password field 
2019-01-17 14:37:15,560 | com.altius.automation.TestAutomation |INFO | Valid UN is passed to the UN field
2019-01-17 14:37:15,732 | com.altius.automation.TestAutomation |INFO | Valid password data is passed to the PW field
2019-01-17 14:37:16,190 | com.altius.automation.TestAutomation |INFO | User able to login with Correct UN  &PW
2019-01-17 14:37:16,195 | com.altius.automation.TestAutomation |INFO | Anand_habitos branch is working fine
2019-01-17 14:37:17,068 | com.altius.automation.TestAutomation |INFO | Browser
2019-01-17 15:05:42,665 | com.altius.automation.TestAutomation |INFO | Invalid data is successfully passed through the Username field
2019-01-17 15:05:43,414 | com.altius.automation.TestAutomation |INFO | Submit button is successfully cliked after invalid data is passed through the username field
2019-01-17 15:05:43,683 | com.altius.automation.TestAutomation |INFO | Wrong password                
2019-01-17 15:05:44,066 | com.altius.automation.TestAutomation |INFO | Invalid password is entered through the password field
2019-01-17 15:05:44,230 | com.altius.automation.TestAutomation |INFO | User unable to login with wrong PW
2019-01-17 15:05:44,503 | com.altius.automation.TestAutomation |INFO | Checking the wrong UN and PW                      
2019-01-17 15:05:44,859 | com.altius.automation.TestAutomation |INFO | Invalid Username is entered to the UN field
2019-01-17 15:05:45,050 | com.altius.automation.TestAutomation |INFO | Invalid password is entered to the PW field
2019-01-17 15:05:45,594 | com.altius.automation.TestAutomation |INFO | Submit is clicked after Wrong UN and PW
2019-01-17 15:05:45,596 | com.altius.automation.TestAutomation |INFO | Validation is raised and User unable to login with wrong UN & PW
2019-01-17 15:05:46,212 | com.altius.automation.TestAutomation |INFO | Valid User name is passed to the UN field
2019-01-17 15:05:46,470 | com.altius.automation.TestAutomation |INFO | Submit button is clicked after the valid UN is passed to the UN field
2019-01-17 15:05:46,471 | com.altius.automation.TestAutomation |INFO | User Unable to login with only correct UN
2019-01-17 15:05:47,079 | com.altius.automation.TestAutomation |INFO | Only valid password data is passed to the password field 
2019-01-17 15:05:48,038 | com.altius.automation.TestAutomation |INFO | Valid UN is passed to the UN field
2019-01-17 15:05:48,212 | com.altius.automation.TestAutomation |INFO | Valid password data is passed to the PW field
2019-01-17 15:05:48,660 | com.altius.automation.TestAutomation |INFO | User able to login with Correct UN  &PW
2019-01-17 15:05:48,669 | com.altius.automation.TestAutomation |INFO | Anand_habitos branch is working fine
2019-01-17 15:05:49,476 | com.altius.automation.TestAutomation |INFO | Browser
2019-01-17 16:41:48,874 | com.altius.automation.TestAutomation |INFO | Invalid data is successfully passed through the Username field
2019-01-17 16:41:49,352 | com.altius.automation.TestAutomation |INFO | Submit button is successfully cliked after invalid data is passed through the username field
2019-01-17 16:41:49,539 | com.altius.automation.TestAutomation |INFO | Wrong password                
2019-01-17 16:41:49,835 | com.altius.automation.TestAutomation |INFO | Invalid password is entered through the password field
2019-01-17 16:41:50,000 | com.altius.automation.TestAutomation |INFO | User unable to login with wrong PW
2019-01-17 16:41:50,176 | com.altius.automation.TestAutomation |INFO | Checking the wrong UN and PW                      
2019-01-17 16:41:50,401 | com.altius.automation.TestAutomation |INFO | Invalid Username is entered to the UN field
2019-01-17 16:41:50,572 | com.altius.automation.TestAutomation |INFO | Invalid password is entered to the PW field
2019-01-17 16:41:51,071 | com.altius.automation.TestAutomation |INFO | Submit is clicked after Wrong UN and PW
2019-01-17 16:41:51,072 | com.altius.automation.TestAutomation |INFO | Validation is raised and User unable to login with wrong UN & PW
2019-01-17 16:41:51,611 | com.altius.automation.TestAutomation |INFO | Valid User name is passed to the UN field
2019-01-17 16:41:51,836 | com.altius.automation.TestAutomation |INFO | Submit button is clicked after the valid UN is passed to the UN field
2019-01-17 16:41:51,837 | com.altius.automation.TestAutomation |INFO | User Unable to login with only correct UN
2019-01-17 16:41:52,242 | com.altius.automation.TestAutomation |INFO | Only valid password data is passed to the password field 
2019-01-17 16:41:52,870 | com.altius.automation.TestAutomation |INFO | Valid UN is passed to the UN field
2019-01-17 16:41:53,041 | com.altius.automation.TestAutomation |INFO | Valid password data is passed to the PW field
2019-01-17 16:41:53,509 | com.altius.automation.TestAutomation |INFO | User able to login with Correct UN  &PW
2019-01-17 16:41:53,515 | com.altius.automation.TestAutomation |INFO | Mani_habitos branch is working fine
2019-01-17 16:41:54,279 | com.altius.automation.TestAutomation |INFO | Browser
